label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
category_mapper,256,12307426,98317,6970553,383379,17,0.15387253378591492,0.29517192033613054,0.09677616716704972,0.2936784612976199,0.0
category_mapper,512,11841461,553288,7902057,317957,16,0.1827136039555693,0.2866941327675805,0.1342928855525137,0.09412704599105277,0.0916515138991168
category_mapper,1024,11675100,1615365,6606867,435450,18,0.09353944730519101,0.2780400746632481,0.10166508898341438,0.2933987676546255,0.09622504486493762
category_mapper,2048,10160204,4888021,6214243,342736,18,0.0510754859067849,0.006507599462588144,0.004414803645791186,0.14684321196830485,0.12596733145955472
category_mapper,4096,11665153,18260654,6904572,378155,18,0.01974784740436934,0.0009385652301404716,0.08969719515956474,0.20816939600176884,0.08331955809010619
category_mapper,8192,9756852,76582637,6891930,310156,19,0.04652744447435741,0.05411773305578387,0.08905306426764295,0.11939759920083148,0.11945177983233636
lstm,64,87714373,245014639,825912756,12619043,49,0.09129050670507316,0.10209011244051845,0.036902596734405095,0.11123297932289712,0.18280742241173895
lstm,128,82562242,674716665,837295126,12518830,50,0.1022533331244331,0.10685018566990422,0.007429859306537045,0.1167429671506484,0.0499989035448394
lstm,256,82410989,2231398317,841693153,12518316,185,0.10455707993292009,0.020158173907981497,0.016900001366511406,0.11731487108172385,1.2746762102678157
lstm,512,82815579,7437520813,840670613,13391070,45,0.10413967079908933,0.033443333283674825,0.011806042450712416,0.10842798599706768,0.2143033502442879
lstm,1024,88036181,26785572789,846566220,13420143,46,0.1003155092535408,0.06880301833991541,0.015188060068942674,0.11162839766604497,0.11503266569846046
lstm,2048,77498606,94309799234,790879356,11700306,42,0.002023670784100311,0.05622040231845019,0.08988759089335334,0.004340619162623104,0.11796616305110547
lstm,4096,77961481,391115473937,786136786,12591230,43,0.0070593162713454005,0.043681516405669155,0.10273338174637602,0.11130088143500609,0.14543938078822635
lstm,8192,79411476,1359751417609,833905230,27142090,1918,0.03070701643215155,0.0012026823095682348,0.009945964405053565,0.4949848327343452,1.1873538716223466
abs,64,13130071,3675,8386086,489550,36,0.4805356154976947,0.3107282562706728,0.23089548662385026,0.053154882435227924,0.11458711923666784
abs,128,9895410,7581,8796991,421878,35,0.12590060625978275,0.21097892926100756,0.18234504402099333,0.11762671946861619,0.11438071370737869
abs,256,10289478,39025,8715734,462249,36,0.13707246313879834,0.08942751876984378,0.14917997818015308,0.036298707110634224,0.14433756729740643
abs,512,13170127,210919,6654038,546007,50,0.39186731916907874,0.4173461473843233,0.02114841645062736,0.24448905093072157,0.3117691453623979
abs,1024,10429066,570281,8867297,476276,38,0.06572977254985088,0.02417838973825435,0.19680340595554502,0.12248157936448117,0.1275745567840409
abs,2048,10078665,2606036,7587085,442234,37,0.096970590518895,0.06477174088473817,0.1171311756148109,0.09892949232435519,0.2010416115928161
abs,4096,9636805,9038199,7353792,428536,39,0.09507502484248623,0.1668570553111143,0.09237340957344486,0.11058949796127825,0.06783977720678437
abs,8192,9574960,32747515,8298726,459045,37,0.058024542244760925,0.01813209366536496,0.23812864564989275,0.07611747525197628,0.11971459520768747
flatten,64,11203392,3187,7379710,198825,19,0.3779385192773512,0.34754809296718797,0.6004588333160915,0.4450450999436469,0.1392500690033995
flatten,128,10295732,6648,7578037,171588,20,0.06221761913564094,0.7422738968219488,0.6167214760445646,0.3083005423719734,0.1502483834411751
flatten,256,11183416,14197,4926133,147995,19,0.07410484689971523,0.19482335950475263,0.007503926360067069,0.20634486774728283,0.12796329551306354
flatten,512,13926173,147064,7769189,170414,19,0.15451334499260164,0.3673459391643018,0.5242080123203717,0.13146021992164697,0.18232113763882918
flatten,1024,9041040,380983,5564020,182084,19,0.10135449633478452,0.02307201801569126,0.09795976501191023,0.24580987649934002,0.11945177983233636
flatten,2048,9745513,1476210,6236172,146449,22,0.0976288494754247,0.034413442154345726,0.36618202990276827,0.11589181184129434,0.11268409604881716
flatten,4096,9281106,4835020,5001367,128086,19,0.08013769824664199,0.009624902252221271,0.04008488963516257,0.00808239466608339,0.1662698407067751
flatten,8192,9829182,20262216,5372164,154997,19,0.01286710780067624,0.052487613696132376,0.09601862905759677,0.04604593498609978,0.17857040259072438
neg,64,12656827,4911,6580662,465494,41,0.13914917399494334,0.5163265133862189,0.005268440717898896,0.14866199957851994,0.013968151673942558
neg,128,9921726,9833,6943329,546891,43,0.0858699789888292,0.3861228889586384,0.10619493584453531,0.11457312288082461,0.10136974287303893
neg,256,10548610,23621,9889002,424035,42,0.2891280897955395,0.11338767467207417,0.2981495325665638,0.10770229537142731,0.027276390670376016
neg,512,9715064,133941,6567525,458249,46,0.08401824464025397,0.20648086223642562,0.0071083971491744955,0.10073837153986484,0.10869565217391304
